timestamp,fixture_id,categoria,entrada,jogo,minuto,placar,odd,bookmaker,odd_updated_at,probabilidade_estimada,probabilidade_implicita,ev,shots_on,total_shots,corners,xg
2026-08-14 16:18:14,1552438,VITÓRIA,Vitória RED Star FC 93,RED Star FC 93 x Sochaux,33,0-0,2.200,Bet365,2026-08-14T19:16:59+00:00,0.5200,0.4545,0.1440,2.0,7.0,5.0,0
2026-08-14 16:18:17,1552439,UNDER GOLS,Menos de 2.5 gols (Asiático FT),Reims x Dunkerque,33,0-0,1.450,Bet365,2026-08-14T19:17:28+00:00,0.6800,0.6897,-0.0140,2.0,7.0,6.0,0
2026-08-14 16:18:28,1569881,UNDER GOLS,Menos de 2.5 gols (Asiático FT),Real Sociedad II x Castellón,45,0-1,2.000,Bet365,2026-08-14T19:17:30+00:00,0.5700,0.5000,0.1400,4.0,9.0,7.0,0
2026-08-14 16:18:31,1584370,VITÓRIA,Vitória Galatasaray,Galatasaray x Çorum FK,45,0-0,1.666,Bet365,2026-08-14T19:17:30+00:00,0.5200,0.6002,-0.1337,3.0,19.0,4.0,1.67
2026-08-14 16:18:36,1551747,HANDICAP / DUPLA CHANCE,Handicap Asiático Jong PSV U21 +1,Almere City FC x Jong PSV U21,56,2-1,1.850,Bet365,2026-08-14T19:17:56+00:00,0.6000,0.5405,0.1100,7.0,15.0,6.0,1.35
2026-08-14 16:22:04,1552436,UNDER GOLS,Menos de 2.5 gols (Asiático FT),Laval x Nantes,36,1-0,2.350,Bet365,2026-08-14T19:20:57+00:00,0.6100,0.4255,0.4335,2.0,4.0,5.0,0
2026-08-14 16:22:33,1602976,VITÓRIA,Vitória Al-Ettifaq,Al-Ettifaq x Al Riyadh,57,2-2,2.250,Bet365,2026-08-14T19:21:58+00:00,0.5020,0.4444,0.1295,8.0,16.0,3.0,1.2200000000000002
2026-08-14 16:25:59,1564794,UNDER GOLS,Menos de 2.5 gols (Asiático FT),Monza x Avellino,37,1-0,1.975,Bet365,2026-08-14T19:25:29+00:00,0.5800,0.5063,0.1455,2.0,10.0,3.0,0
2026-08-14 20:44:16,1520818,GOLS,Mais de 0.75 gols (Asiático FT),São Bernardo x Botafogo SP,55,0-0,1.675,Bet365,2026-08-14T23:43:01+00:00,0.6450,0.5970,0.0804,2.0,21.0,12.0,1.91
2026-08-14 20:53:42,1520817,GOLS,Mais de 1.75 gols (Asiático FT),Ponte Preta x Nautico Recife,63,1-0,1.650,Bet365,2026-08-14T23:53:00+00:00,0.6600,0.6061,0.0890,7.0,20.0,6.0,1.9000000000000001
2026-08-14 21:00:01,1520817,GOLS,Mais de 2.75 gols (Asiático FT),Ponte Preta x Nautico Recife,69,1-1,2.050,Bet365,2026-08-14T23:58:59+00:00,0.6450,0.4878,0.3223,9.0,24.0,8.0,3.1799999999999997
2026-08-15 14:54:55,1602978,GOLS,Mais de 0.5 gols (Asiático FT),Al Taawon x Al Khaleej Saihat,79,0-0,2.300,Bet365,2026-08-15T17:54:25+00:00,0.6250,0.4348,0.4375,9.0,19.0,7.0,1.45
2026-08-15 15:41:48,1493062,GOLS,Mais de 0.75 gols (Asiático FT),Aldosivi x Tigre,50,0-0,1.700,Bet365,2026-08-15T18:40:56+00:00,0.6450,0.5882,0.0965,4.0,20.0,10.0,1.26
2026-08-16 16:12:35,1546791,VITÓRIA,Vitória Paris Saint Germain,Lens x Paris Saint Germain,27,0-0,2.200,Bet365,2026-08-16T19:11:58+00:00,0.5000,0.4545,0.1000,2.0,6.0,2.0,0
2026-08-16 18:41:26,1519449,VITÓRIA,Vitória Emelec,Emelec x Tecnico Universitario,25,0-0,2.200,Bet365,2026-08-16T21:40:27+00:00,0.5000,0.4545,0.1000,1.0,6.0,3.0,0
2026-08-16 19:58:57,1492339,GOLS,Mais de 1.75 gols (Asiático FT),Vitoria x Botafogo,66,1-0,1.750,Bet365,2026-08-16T22:57:58+00:00,0.6450,0.5714,0.1288,6.0,26.0,9.0,1.83
